id,imageAssetName,title,shoeSize,videoUrl,stripes,backgroundColor
38,DOAF_FF_037.png,Ducks of a Feather #38,9.5,https://player.vimeo.com/progressive_redirect/playback/679384905/rendition/540p?loc=external&signature=90b94677c6947fddb580ef920160657ed2687e34fc0290152b805e3f48423e6d,N,LIGHT GREY
39,DOAF_FF_038.png,Ducks of a Feather #39,9.5,https://player.vimeo.com/progressive_redirect/playback/679384915/rendition/540p?loc=external&signature=4c558ff8a2feca72039ef6c19ae5d7baaef900ed9988b4bb6927ebdbb72b5be6,Y,BRIGHT ORANGE
40,DOAF_FF_039.png,Ducks of a Feather #40,9.5,https://player.vimeo.com/progressive_redirect/playback/679384925/rendition/540p?loc=external&signature=0e5c9256134973d884ca4ef52bcee5810ee70bcafd6c0dfb0213a31ab7e324ab,N,MAROON
41,DOAF_FF_040.png,Ducks of a Feather #41,9.5,https://player.vimeo.com/progressive_redirect/playback/679384936/rendition/540p?loc=external&signature=8971fccfa5c977eac712f80e2ca608745f0fcb64ce7e29bde7eaf13e8bdab09c,N,PURPLE
42,DOAF_FF_041.png,Ducks of a Feather #42,9.5,https://player.vimeo.com/progressive_redirect/playback/679384943/rendition/540p?loc=external&signature=48488af40ad815ed88547ab056a01bfe3709269e54f12150ccab075ff729f7ad,N,BROWN
43,DOAF_FF_042.png,Ducks of a Feather #43,9.5,https://player.vimeo.com/progressive_redirect/playback/679384954/rendition/540p?loc=external&signature=9180d845144a1899fc5bbbde1f13f15d329bc8a0bc979f300cdde02c94bf4776,N,DARK GREY
44,DOAF_FF_043.png,Ducks of a Feather #44,9.5,https://player.vimeo.com/progressive_redirect/playback/679384975/rendition/540p?loc=external&signature=17312e78bf8da6392d3c6afaf9629b0b5e344a4ae0f4539f05e4bc937635a011,N,PINK
45,DOAF_FF_044.png,Ducks of a Feather #45,9.5,https://player.vimeo.com/progressive_redirect/playback/679384981/rendition/540p?loc=external&signature=5fa1f0e486c35c660826ff857ae9692e2442dfc3a9de8c8dfef39aa0b7cd7992,N,MINT GREEN
46,DOAF_FF_045.png,Ducks of a Feather #46,9.5,https://player.vimeo.com/progressive_redirect/playback/679384991/rendition/540p?loc=external&signature=cf6b3a44a6cbbfac45aaf85f7c44ce9fd19477d5a517304e3ca3870012eb8b39,N,PURPLE
47,DOAF_FF_046.png,Ducks of a Feather #47,9.5,https://player.vimeo.com/progressive_redirect/playback/679385004/rendition/540p?loc=external&signature=9ed6c5390b1292fc56645a555d570ac01daa54e4c8624378a6923017e8265366,Y,DARK GREEN
